8 threads:
4096 blocks per slice
i 00897 v 0000000000c54914
i 00898 v 0000000000c5cfad
i 00899 v 0000000000c62e19
i 00900 v 0000000000c68cd7
i 00901 v 0000000000c8d51f
i 00902 v 0000000000c9461d
i 00903 v 0000000000c9fca1
i 00904 v 0000000000cc6d9a
i 00905 v 0000000000cc9bf5
i 00906 v 0000000000cd6720
i 00907 v 0000000000cd6a24
i 00908 v 0000000000ce4b90
i 00909 v 0000000000cec953
i 00910 v 0000000000cf19dd
i 00911 v 0000000000d07b0f
i 00912 v 0000000000d133ce
i 00913 v 0000000000d14820
i 00914 v 0000000000d260c1
i 00915 v 0000000000d422e9
i 00916 v 0000000000d5b833
i 00917 v 0000000000d615ba
i 00918 v 0000000000d8cfec
i 00919 v 0000000000d9c225
i 00920 v 0000000000da46ce
i 00921 v 0000000000dba616
